County,2017 NAICS code (NAICS2017),Meaning of NAICS Code (NAICS2017_LABEL),Meaning of Legal form of organization code (LFO_LABEL),Meaning of Employment size of establishments code (EMPSZES_LABEL),Year (YEAR),Number of establishments (ESTAB),"Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)",Number of employees (EMP),GeoFIPS,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
rock minnesota,0,Total for all sectors,All establishments,All establishments,2021,288,"1,25,812","27,081","2,956"," ""27133""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,697269,691131,629938,598270,639603,783139
roseau minnesota,0,Total for all sectors,All establishments,All establishments,2021,413,"3,17,326","72,287","6,647"," ""27135""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,1352355,1156384,1099584,1129026,1430308,1584327
st. louis minnesota,0,Total for all sectors,All establishments,All establishments,2021,"5,305","42,59,468","9,58,146","81,575"," ""27137""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,9722765,10445906,10937536,10513941,11438636,12326673
scott minnesota,0,Total for all sectors,All establishments,All establishments,2021,"3,516","27,34,161","6,02,440","49,661"," ""27139""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,6632372,7249615,7276823,7025762,8030080,8824932
sherburne minnesota,0,Total for all sectors,All establishments,All establishments,2021,"2,239","11,01,074","2,38,478","22,304"," ""27141""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,3615276,3649584,3716874,3667737,3891738,4388666
sibley minnesota,0,Total for all sectors,All establishments,All establishments,2021,365,"1,27,274","28,457","3,077"," ""27143""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,450002,440038,427580,437105,515188,592644
stearns minnesota,0,Total for all sectors,All establishments,All establishments,2021,"4,406","44,32,613","10,44,411","81,049"," ""27145""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,8678706,9018109,9196293,9238913,9801061,10733464
steele minnesota,0,Total for all sectors,All establishments,All establishments,2021,"1,011","10,55,795","2,87,833","19,368"," ""27147""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,2273348,2293765,2377845,2300926,2463108,2540323
stevens minnesota,0,Total for all sectors,All establishments,All establishments,2021,313,"1,87,571","40,811","3,897"," ""27149""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,589883,599863,603775,657797,695738,816322
swift minnesota,0,Total for all sectors,All establishments,All establishments,2021,306,"1,27,777","28,209","2,869"," ""27151""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,519790,516323,467358,501174,581769,756146
todd minnesota,0,Total for all sectors,All establishments,All establishments,2021,562,"2,63,269","58,479","5,916"," ""27153""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,819678,850512,848167,803658,846836,943091
traverse minnesota,0,Total for all sectors,All establishments,All establishments,2021,117,"33,603","7,395",703," ""27155""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,173760,173548,159744,216962,253095,335520
wabasha minnesota,0,Total for all sectors,All establishments,All establishments,2021,568,"2,07,269","46,632","4,962"," ""27157""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,775734,753568,772644,822421,885427,970466
wadena minnesota,0,Total for all sectors,All establishments,All establishments,2021,384,"1,62,998","35,863","3,710"," ""27159""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,499121,521927,538230,549551,591040,617548
waseca minnesota,0,Total for all sectors,All establishments,All establishments,2021,449,"2,00,525","42,080","4,504"," ""27161""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,785964,758278,705036,742480,848526,947909
washington minnesota,0,Total for all sectors,All establishments,All establishments,2021,"6,243","41,75,837","9,82,663","80,239"," ""27163""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,11240735,11908308,12400695,12159403,13403548,14614578
watonwan minnesota,0,Total for all sectors,All establishments,All establishments,2021,293,"1,54,176","34,487","3,763"," ""27165""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,434499,447105,461005,450689,539646,593512
wilkin minnesota,0,Total for all sectors,All establishments,All establishments,2021,146,"70,745","16,326","1,636"," ""27167""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,276186,275318,309194,307850,388494,442505
winona minnesota,0,Total for all sectors,All establishments,All establishments,2021,"1,155","10,92,085","2,51,788","22,929"," ""27169""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,2344556,2374085,2417130,2465257,2583548,2800029
wright minnesota,0,Total for all sectors,All establishments,All establishments,2021,"3,556","19,12,425","4,13,628","38,258"," ""27171""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,4693623,4951651,5225984,5450483,5886800,6394358
yellow medicine minnesota,0,Total for all sectors,All establishments,All establishments,2021,324,"1,95,147","40,919","3,841"," ""27173""",4,CAGDP2,1,...,All industry total ,Thousands of dollars,447659,460421,522754,544709,586313,680167
adams mississippi,0,Total for all sectors,All establishments,All establishments,2021,735,"3,42,449","76,785","9,131"," ""28001""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,940452,980849,983243,927177,1057239,1131073
alcorn mississippi,0,Total for all sectors,All establishments,All establishments,2021,779,"4,68,189","1,07,411","11,775"," ""28003""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,1185077,1252271,1282101,1338882,1408758,1551701
amite mississippi,0,Total for all sectors,All establishments,All establishments,2021,183,"63,560","14,878","1,485"," ""28005""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,249376,258946,257055,237906,291391,340167
attala mississippi,0,Total for all sectors,All establishments,All establishments,2021,340,"1,81,726","42,705","4,365"," ""28007""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,498906,487750,480345,531960,598009,708256
benton mississippi,0,Total for all sectors,All establishments,All establishments,2021,77,"49,816","10,540","1,258"," ""28009""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,334781,341885,262081,308822,297893,391995
bolivar mississippi,0,Total for all sectors,All establishments,All establishments,2021,680,"3,42,357","82,007","7,756"," ""28011""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,1101909,1123834,1007120,1057036,1174708,1204661
calhoun mississippi,0,Total for all sectors,All establishments,All establishments,2021,236,"68,376","15,848","1,964"," ""28013""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,268235,280018,286373,326114,362381,364878
carroll mississippi,0,Total for all sectors,All establishments,All establishments,2021,119,"20,053","4,633",639," ""28015""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,115708,121219,118815,118396,126839,127124
chickasaw mississippi,0,Total for all sectors,All establishments,All establishments,2021,319,"1,80,105","41,511","5,548"," ""28017""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,479685,458002,494019,536417,585141,568567
choctaw mississippi,0,Total for all sectors,All establishments,All establishments,2021,126,"81,356","19,934","1,495"," ""28019""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,686046,743383,693781,670131,772949,979022
claiborne mississippi,0,Total for all sectors,All establishments,All establishments,2021,100,"1,47,614","41,357","2,033"," ""28021""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,651509,635337,802725,617581,882971,862552
clarke mississippi,0,Total for all sectors,All establishments,All establishments,2021,218,"70,370","16,104","1,785"," ""28023""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,278569,296043,286543,294376,303484,329468
clay mississippi,0,Total for all sectors,All establishments,All establishments,2021,336,"1,76,854","40,480","4,508"," ""28025""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,501235,484844,519240,539408,596539,668543
coahoma mississippi,0,Total for all sectors,All establishments,All establishments,2021,505,"2,02,307","44,491","5,038"," ""28027""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,748146,736891,751515,710241,787726,802345
copiah mississippi,0,Total for all sectors,All establishments,All establishments,2021,447,"2,10,906","51,039","5,562"," ""28029""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,698189,673880,673037,681177,747299,837551
covington mississippi,0,Total for all sectors,All establishments,All establishments,2021,328,"1,71,540","40,201","4,639"," ""28031""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,599284,616773,580848,601490,758754,849212
desoto mississippi,0,Total for all sectors,All establishments,All establishments,2021,"3,186","22,61,070","5,10,739","56,162"," ""28033""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,5832438,6035989,6317934,6650391,7518027,8276400
forrest mississippi,0,Total for all sectors,All establishments,All establishments,2021,"1,720","14,64,715","3,31,443","32,372"," ""28035""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,3647889,3711029,3718857,3715234,4059548,4340639
franklin mississippi,0,Total for all sectors,All establishments,All establishments,2021,119,"46,565","10,614","1,018"," ""28037""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,177009,184471,193869,199350,216897,232479
george mississippi,0,Total for all sectors,All establishments,All establishments,2021,335,"1,44,310","33,053","3,670"," ""28039""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,457503,476642,515492,520990,522853,557046
greene mississippi,0,Total for all sectors,All establishments,All establishments,2021,121,"43,009","8,772",874," ""28041""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,158249,167610,161541,170685,175753,188415
grenada mississippi,0,Total for all sectors,All establishments,All establishments,2021,540,"3,21,986","73,922","8,257"," ""28043""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,918944,971638,967547,966501,1033619,1119992
hancock mississippi,0,Total for all sectors,All establishments,All establishments,2021,773,"3,74,021","89,164","8,733"," ""28045""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,1487554,1531341,1654960,1710575,1838789,1940659
harrison mississippi,0,Total for all sectors,All establishments,All establishments,2021,"4,274","31,62,374","7,49,411","71,893"," ""28047""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,8726970,8893507,9262471,9404280,10495069,11469588
hinds mississippi,0,Total for all sectors,All establishments,All establishments,2021,"5,073","49,01,830","12,06,457","93,095"," ""28049""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,12358888,12552581,12849829,12844597,13533046,14393648
holmes mississippi,0,Total for all sectors,All establishments,All establishments,2021,222,"68,763","16,585","1,793"," ""28051""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,291296,302882,294084,297332,314617,331262
humphreys mississippi,0,Total for all sectors,All establishments,All establishments,2021,133,"44,627","11,059","1,254"," ""28053""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,179619,178349,192308,200489,233088,211952
issaquena mississippi,0,Total for all sectors,All establishments,All establishments,2021,15,"2,908",572,78," ""28055""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,14743,14753,22037,26695,32934,30007
itawamba mississippi,0,Total for all sectors,All establishments,All establishments,2021,387,"2,06,607","48,094","5,476"," ""28057""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,563953,569846,577680,605603,617991,666804
jackson mississippi,0,Total for all sectors,All establishments,All establishments,2021,"2,340","25,33,616","6,18,048","45,750"," ""28059""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,6757309,7007355,6993848,6826605,8004636,9600621
jasper mississippi,0,Total for all sectors,All establishments,All establishments,2021,201,"1,80,671","42,620","3,445"," ""28061""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,494685,508463,490480,467772,529702,610331
jefferson mississippi,0,Total for all sectors,All establishments,All establishments,2021,64,"21,169","4,539",504," ""28063""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,104428,105465,104195,98804,110659,114543
jefferson davis mississippi,0,Total for all sectors,All establishments,All establishments,2021,127,"60,868","12,802","1,228"," ""28065""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,180908,182598,174023,166828,175671,198017
jones mississippi,0,Total for all sectors,All establishments,All establishments,2021,"1,296","9,49,699","2,18,056","22,178"," ""28067""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,2651368,2710364,2655978,2544261,2819463,3290242
kemper mississippi,0,Total for all sectors,All establishments,All establishments,2021,110,"62,680","18,450","1,267"," ""28069""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,425366,386694,379013,337466,349603,407811
lafayette mississippi,0,Total for all sectors,All establishments,All establishments,2021,"1,360","7,19,412","1,60,366","17,779"," ""28071""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,2074355,2180130,2247004,2267484,2461918,2685470
lamar mississippi,0,Total for all sectors,All establishments,All establishments,2021,"1,473","6,95,407","1,58,876","18,632"," ""28073""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,1706427,1733930,1802839,1849032,2114382,2318766
lauderdale mississippi,0,Total for all sectors,All establishments,All establishments,2021,"1,796","11,24,261","2,61,188","27,518"," ""28075""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,3140073,3283531,3441402,3547744,3855358,4212538
lawrence mississippi,0,Total for all sectors,All establishments,All establishments,2021,176,"94,861","22,027","1,871"," ""28077""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,362905,378645,352119,333609,384651,431894
leake mississippi,0,Total for all sectors,All establishments,All establishments,2021,318,"1,68,064","37,442","4,937"," ""28079""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,552584,575929,576718,523392,679235,777375
lee mississippi,0,Total for all sectors,All establishments,All establishments,2021,"2,536","21,12,873","5,09,126","47,040"," ""28081""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,4840741,4865010,5141961,4975085,5506957,5875639
